date,title,platform,store,price_jpy
2026-06-20,スーパーマリオ 3Dコレクション,Switch,bookoff,4000
2026-06-20,スーパーマリオ 3Dコレクション,Switch,geo,4500
2026-06-20,スーパーマリオ 3Dコレクション,Switch,surugaya,4500
2026-06-20,ファイアーエムブレム 風花雪月,Switch,geo,4500
2026-06-20,ファイアーエムブレム 風花雪月,Switch,surugaya,4500
2026-06-20,スーパーマリオパーティ ジャンボリー,Switch,bookoff,3300
2026-06-20,スーパーマリオパーティ ジャンボリー,Switch,geo,3800
2026-06-20,スーパーマリオパーティ ジャンボリー,Switch,surugaya,3800
2026-06-20,大乱闘スマッシュブラザーズ SPECIAL,Switch,bookoff,3500
2026-06-20,大乱闘スマッシュブラザーズ SPECIAL,Switch,geo,3800
2026-06-20,大乱闘スマッシュブラザーズ SPECIAL,Switch,surugaya,3500
2026-06-20,スプラトゥーン3,Switch,bookoff,2800
2026-06-20,スプラトゥーン3,Switch,geo,3500
2026-06-20,スプラトゥーン3,Switch,surugaya,3300
2026-06-20,ゼルダの伝説 ティアーズ オブ ザ キングダム（通常版）,Switch,bookoff,2500
2026-06-20,ゼルダの伝説 ティアーズ オブ ザ キングダム（通常版）,Switch,geo,3000
2026-06-20,ゼルダの伝説 ティアーズ オブ ザ キングダム（通常版）,Switch,surugaya,3400
2026-06-20,あつまれ どうぶつの森,Switch,bookoff,2800
2026-06-20,あつまれ どうぶつの森,Switch,geo,3000
2026-06-20,あつまれ どうぶつの森,Switch,surugaya,2600
2026-06-20,マリオカート8 デラックス,Switch,bookoff,1500
2026-06-20,マリオカート8 デラックス,Switch,geo,2000
2026-06-20,マリオカート8 デラックス,Switch,surugaya,2500
2026-06-20,ポケットモンスター スカーレット,Switch,bookoff,1800
2026-06-20,ポケットモンスター スカーレット,Switch,geo,2000
2026-06-20,ポケットモンスター スカーレット,Switch,surugaya,2000
2026-06-20,ポケットモンスター バイオレット,Switch,bookoff,1500
2026-06-20,ポケットモンスター バイオレット,Switch,geo,1500
2026-06-20,ポケットモンスター バイオレット,Switch,surugaya,2000
2026-06-25,スーパーマリオ 3Dコレクション,Switch,bookoff,4000
2026-06-25,スーパーマリオ 3Dコレクション,Switch,geo,4500
2026-06-25,スーパーマリオ 3Dコレクション,Switch,surugaya,4500
2026-06-25,ファイアーエムブレム 風花雪月,Switch,geo,4500
2026-06-25,ファイアーエムブレム 風花雪月,Switch,surugaya,4500
2026-06-25,スーパーマリオパーティ ジャンボリー,Switch,bookoff,3300
2026-06-25,スーパーマリオパーティ ジャンボリー,Switch,geo,3800
2026-06-25,スーパーマリオパーティ ジャンボリー,Switch,surugaya,3800
2026-06-25,大乱闘スマッシュブラザーズ SPECIAL,Switch,bookoff,3500
2026-06-25,大乱闘スマッシュブラザーズ SPECIAL,Switch,geo,3800
2026-06-25,大乱闘スマッシュブラザーズ SPECIAL,Switch,surugaya,3500
2026-06-25,スプラトゥーン3,Switch,bookoff,3000
2026-06-25,スプラトゥーン3,Switch,geo,3500
2026-06-25,スプラトゥーン3,Switch,surugaya,3300
2026-06-25,ゼルダの伝説 ティアーズ オブ ザ キングダム（通常版）,Switch,bookoff,2500
2026-06-25,ゼルダの伝説 ティアーズ オブ ザ キングダム（通常版）,Switch,geo,3000
2026-06-25,ゼルダの伝説 ティアーズ オブ ザ キングダム（通常版）,Switch,surugaya,3400
2026-06-25,あつまれ どうぶつの森,Switch,bookoff,2700
2026-06-25,あつまれ どうぶつの森,Switch,geo,3000
2026-06-25,あつまれ どうぶつの森,Switch,surugaya,2600
2026-06-25,マリオカート8 デラックス,Switch,bookoff,1500
2026-06-25,マリオカート8 デラックス,Switch,geo,2000
2026-06-25,マリオカート8 デラックス,Switch,surugaya,2500
2026-06-25,ポケットモンスター スカーレット,Switch,bookoff,1700
2026-06-25,ポケットモンスター スカーレット,Switch,geo,2000
2026-06-25,ポケットモンスター スカーレット,Switch,surugaya,2000
2026-06-25,ポケットモンスター バイオレット,Switch,bookoff,1500
2026-06-25,ポケットモンスター バイオレット,Switch,geo,1500
2026-06-25,ポケットモンスター バイオレット,Switch,surugaya,2000
2026-07-02,スーパーマリオ 3Dコレクション,Switch,bookoff,4000
2026-07-02,スーパーマリオ 3Dコレクション,Switch,geo,4500
2026-07-02,ファイアーエムブレム 風花雪月,Switch,geo,4500
2026-07-02,ファイアーエムブレム 風花雪月,Switch,surugaya,4500
2026-07-02,スーパーマリオパーティ ジャンボリー,Switch,bookoff,3000
2026-07-02,スーパーマリオパーティ ジャンボリー,Switch,geo,3800
2026-07-02,スーパーマリオパーティ ジャンボリー,Switch,surugaya,2700
2026-07-02,大乱闘スマッシュブラザーズ SPECIAL,Switch,bookoff,3500
2026-07-02,大乱闘スマッシュブラザーズ SPECIAL,Switch,geo,3800
2026-07-02,大乱闘スマッシュブラザーズ SPECIAL,Switch,surugaya,3500
2026-07-02,スプラトゥーン3,Switch,bookoff,3000
2026-07-02,スプラトゥーン3,Switch,geo,4000
2026-07-02,スプラトゥーン3,Switch,surugaya,3500
2026-07-02,ゼルダの伝説 ティアーズ オブ ザ キングダム（通常版）,Switch,bookoff,2500
2026-07-02,ゼルダの伝説 ティアーズ オブ ザ キングダム（通常版）,Switch,geo,3000
2026-07-02,ゼルダの伝説 ティアーズ オブ ザ キングダム（通常版）,Switch,surugaya,3400
2026-07-02,あつまれ どうぶつの森,Switch,bookoff,2700
2026-07-02,あつまれ どうぶつの森,Switch,geo,3000
2026-07-02,あつまれ どうぶつの森,Switch,surugaya,2400
2026-07-02,マリオカート8 デラックス,Switch,bookoff,1500
2026-07-02,マリオカート8 デラックス,Switch,surugaya,2100
2026-07-02,ポケットモンスター スカーレット,Switch,bookoff,1700
2026-07-02,ポケットモンスター スカーレット,Switch,surugaya,1800
2026-07-02,ポケットモンスター バイオレット,Switch,bookoff,1200
2026-07-02,ポケットモンスター バイオレット,Switch,surugaya,1400
2026-07-09,スーパーマリオ 3Dコレクション,Switch,bookoff,3800
2026-07-09,スーパーマリオ 3Dコレクション,Switch,geo,4500
2026-07-09,ファイアーエムブレム 風花雪月,Switch,geo,4500
2026-07-09,ファイアーエムブレム 風花雪月,Switch,surugaya,4500
2026-07-09,スーパーマリオパーティ ジャンボリー,Switch,bookoff,3300
2026-07-09,スーパーマリオパーティ ジャンボリー,Switch,geo,3800
2026-07-09,スーパーマリオパーティ ジャンボリー,Switch,surugaya,2700
2026-07-09,大乱闘スマッシュブラザーズ SPECIAL,Switch,bookoff,3500
2026-07-09,大乱闘スマッシュブラザーズ SPECIAL,Switch,geo,3800
2026-07-09,大乱闘スマッシュブラザーズ SPECIAL,Switch,surugaya,3500
2026-07-09,スプラトゥーン3,Switch,bookoff,3300
2026-07-09,スプラトゥーン3,Switch,geo,4000
2026-07-09,スプラトゥーン3,Switch,surugaya,3500
2026-07-09,ゼルダの伝説 ティアーズ オブ ザ キングダム（通常版）,Switch,bookoff,2800
